Account,trade_date,closedPnL_sum,closedPnL_mean,closedPnL_std,is_profitable_mean,execution_price_count,fg_date,fg_score,fg_label
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-06-12,-175611.00005600002,-5321.545456242425,20673.809229281236,0.0,33,2024-06-12,72.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,0.0,0.0,0.0,177,2024-11-11,76.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-03,9482.221441,210.7160320222222,188.17603173932767,0.8,45,2025-01-03,74.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,7671.0,12601.782053941179,0.9,10,2025-02-02,60.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-02,101011.685664,120.39533452205006,1727.5898244164778,0.30512514898688914,839,2025-03-02,26.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,833.0337954804993,2408.864768709008,0.8424336973478939,641,2025-03-03,33.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-02,375620.270243,707.3828064839925,4706.059084117009,0.15630885122410546,531,2025-04-02,44.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-05-02,44400.9058,211.43288476190477,949.222968424913,0.37142857142857144,210,2025-05-02,67.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-09-02,30897.0887,219.12828865248227,687.4738419495811,0.9361702127659575,141,,,
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-10-02,55086.0,1147.625,3845.1429789897975,0.3333333333333333,48,,,
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-11-02,0.0,0.0,0.0,0.0,6,,,
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-12-04,307855.80341,9930.832368064515,29916.431926603156,1.0,31,,,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-01-12,0.0,0.0,,0.0,1,2024-01-12,71.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-06-12,0.0,0.0,0.0,0.0,34,2024-06-12,72.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-07-12,3515.031065,135.1935025,453.1311388834703,0.9615384615384616,26,2024-07-12,25.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-09-12,0.0,0.0,0.0,0.0,46,2024-09-12,31.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-12,2517.787385,39.340427890625,44.059822504299866,0.984375,64,2024-10-12,49.0,Neutral
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-02,1162.002541,14.897468474358975,47.09706615613972,0.32051282051282054,78,2025-01-02,70.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-05,1243.853569,4.975414276,13.212297384548968,0.324,250,2025-01-05,72.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,6352.452613,12.28714238491296,55.0118349778375,0.4506769825918762,517,2025-02-02,60.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,2480.902379,22.55365799090909,95.20267591801426,0.45454545454545453,110,2025-03-03,33.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,0.0,0.0,,0.0,1,2025-03-04,15.0,Extreme Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,-3169.3554679999997,-48.759314892307685,372.4800486094771,0.0,65,2025-04-03,25.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-07-03,0.0,0.0,0.0,0.0,37,,,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-08-03,2099.019688,44.65999336170213,55.84318281453452,1.0,47,,,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-09-03,656.540742,10.1006268,11.914657863151925,0.8769230769230769,65,,,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-10-03,-1065.797583,-20.109388358490566,344.3677699833401,0.9622641509433962,53,,,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-11-02,-12346.990829,-99.57250668548387,294.11859966061303,0.0,124,,,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-12-02,355.5854,2.2363861635220124,2.2112728533269044,0.7987421383647799,159,,,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-12-03,1591.753271,30.03308058490566,40.64570560406076,0.9811320754716981,53,,,
0x271b280974205ca63b716753467d5a371de622ab,2024-05-12,208.81746,52.204365,61.50201732292121,0.75,4,2024-05-12,56.0,Greed
0x271b280974205ca63b716753467d5a371de622ab,2025-09-04,16706.884912,20.96221444416562,97.45225249813272,0.37641154328732745,797,,,
0x271b280974205ca63b716753467d5a371de622ab,2025-10-04,13264.043303999999,39.12697139823008,136.6140502948754,0.5575221238938053,339,,,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-01-12,4458.25495,23.099766580310877,59.690568486219505,0.5025906735751295,193,2024-01-12,71.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-02-12,1283.846047,9.170328907142856,25.57531452202374,0.5214285714285715,140,2024-02-12,70.0,Greed
